# Time (s),Altitude (m),Position East of launch (m),Position North of launch (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
36.257,8711.567,1059.205,-1080.233,22.608,-9.659,32.434,0.222,3.323,1.111e-7,0.023,4.775e-4
36.307,8712.685,1060.331,-1081.399,22.125,-9.641,32.423,0.233,3.61,1.111e-7,0.024,4.775e-4
36.357,8713.78,1061.457,-1082.565,21.643,-9.633,32.411,0.235,3.724,1.111e-7,0.025,4.775e-4
36.407,8714.85,1062.582,-1083.731,21.162,-9.631,32.399,0.232,3.782,1.111e-7,0.026,4.775e-4
36.457,8715.896,1063.707,-1084.896,20.68,-9.627,32.388,0.231,3.839,1.111e-7,0.027,4.775e-4
36.507,8716.918,1064.832,-1086.061,20.199,-9.632,32.376,0.223,3.782,1.111e-7,0.028,4.775e-4
36.557,8717.916,1065.956,-1087.225,19.717,-9.635,32.366,0.216,3.724,1.111e-7,0.029,3.183e-4
36.607,8718.889,1067.08,-1088.389,19.235,-9.636,32.355,0.211,3.724,1.111e-7,0.03,3.183e-4
36.657,8719.839,1068.203,-1089.553,18.754,-9.623,32.344,0.216,3.896,1.111e-7,0.031,3.183e-4
36.707,8720.765,1069.326,-1090.716,18.273,-9.613,32.333,0.22,4.068,1.111e-7,0.032,4.775e-4
36.757,8721.666,1070.449,-1091.879,17.792,-9.617,32.322,0.213,4.011,1.111e-7,0.033,3.183e-4
36.807,8722.544,1071.571,-1093.042,17.311,-9.617,32.312,0.209,4.011,1.111e-7,0.034,3.183e-4
36.857,8723.398,1072.693,-1094.204,16.831,-9.606,32.301,0.212,4.125,1.111e-7,0.035,4.775e-4
36.907,8724.227,1073.814,-1095.366,16.351,-9.596,32.291,0.215,4.24,1.111e-7,0.036,4.775e-4
36.957,8725.033,1074.935,-1096.527,15.871,-9.584,32.28,0.219,4.412,1.111e-7,0.038,4.775e-4
37.007,8725.814,1076.056,-1097.688,15.392,-9.589,32.269,0.211,4.297,1.111e-7,0.039,4.775e-4
37.057,8726.572,1077.176,-1098.849,14.912,-9.594,32.259,0.204,4.24,1.111e-7,0.04,4.775e-4
37.107,8727.305,1078.296,-1100.009,14.433,-9.596,32.249,0.199,4.125,1.111e-7,0.041,4.775e-4
37.157,8728.015,1079.416,-1101.169,13.952,-9.612,32.239,0.186,3.896,1.111e-7,0.042,3.183e-4
37.207,8728.701,1080.535,-1102.329,13.471,-9.628,32.23,0.173,3.61,1.111e-7,0.042,3.183e-4
37.257,8729.362,1081.654,-1103.489,12.99,-9.63,32.222,0.169,3.552,1.111e-7,0.043,3.183e-4
37.307,8730,1082.773,-1104.648,12.508,-9.64,32.213,0.16,3.38,1.111e-7,0.044,3.183e-4
37.357,8730.613,1083.891,-1105.806,12.026,-9.645,32.206,0.154,3.266,1.111e-7,0.045,3.183e-4
37.407,8731.202,1085.01,-1106.965,11.544,-9.649,32.198,0.15,3.151,1.111e-7,0.046,3.183e-4
37.457,8731.767,1086.127,-1108.123,11.061,-9.652,32.191,0.146,3.037,1.111e-7,0.046,3.183e-4
37.507,8732.308,1087.245,-1109.281,10.578,-9.66,32.183,0.14,2.922,1.111e-7,0.047,1.592e-4
37.557,8732.825,1088.362,-1110.439,10.095,-9.664,32.177,0.136,2.75,1.111e-7,0.047,1.592e-4
37.607,8733.318,1089.479,-1111.596,9.612,-9.67,32.17,0.131,2.636,1.111e-7,0.048,1.592e-4
37.657,8733.786,1090.596,-1112.754,9.128,-9.68,32.163,0.125,2.406,1.111e-7,0.049,1.082e-4
37.707,8734.231,1091.713,-1113.911,8.644,-9.685,32.157,0.122,2.292,1.111e-7,0.049,1.16e-4
37.757,8734.651,1092.83,-1115.067,8.16,-9.692,32.151,0.118,2.12,1.111e-7,0.049,7.891e-5
37.807,8735.047,1093.946,-1116.224,7.675,-9.698,32.145,0.115,1.948,1.111e-7,0.05,6.191e-5
37.857,8735.418,1095.062,-1117.381,7.19,-9.71,32.14,0.108,1.719,1.111e-7,0.05,-1.592e-4
37.907,8735.766,1096.178,-1118.537,6.704,-9.72,32.135,0.104,1.49,1.111e-7,0.05,-4.775e-4
37.957,8736.089,1097.293,-1119.693,6.218,-9.727,32.129,0.101,1.261,1.111e-7,0.05,-6.366e-4
38.007,8736.387,1098.409,-1120.849,5.731,-9.736,32.124,0.098,1.089,1.111e-7,0.051,-9.549e-4
38.057,8736.662,1099.524,-1122.004,5.244,-9.746,32.12,0.093,0.802,1.111e-7,0.051,-0.002
38.107,8736.912,1100.639,-1123.16,4.757,-9.75,32.115,0.093,0.688,1.111e-7,0.051,-0.002
38.157,8737.137,1101.754,-1124.315,4.269,-9.755,32.11,0.092,0.573,1.111e-7,0.051,-0.002
38.207,8737.339,1102.869,-1125.47,3.781,-9.763,32.106,0.089,0.344,1.111e-7,0.05,-0.006
38.257,8737.516,1103.984,-1126.625,3.293,-9.77,32.102,0.088,0.172,1.111e-7,0.048,-0.015
38.307,8737.668,1105.098,-1127.78,2.804,-9.774,32.097,0.088,0.042,1.111e-7,0.009,-0.05
38.357,8737.796,1106.213,-1128.935,2.315,-9.778,32.093,0.089,0.115,1.111e-7,-0.049,-0.014
38.407,8737.9,1107.327,-1130.09,1.826,-9.785,32.088,0.087,0.344,1.111e-7,-0.05,-0.008
38.457,8737.979,1108.441,-1131.244,1.337,-9.79,32.084,0.086,0.516,1.111e-7,-0.05,-0.006
38.507,8738.033,1109.555,-1132.398,0.847,-9.795,32.08,0.087,0.63,1.111e-7,-0.05,-0.004
38.557,8738.063,1110.669,-1133.552,0.358,-9.8,32.075,0.088,0.745,1.111e-7,-0.049,-0.003
38.607,8738.069,1111.783,-1134.706,-0.133,-9.804,32.071,0.089,0.917,1.111e-7,-0.049,-0.003
38.657,8738.05,1112.896,-1135.86,-0.623,-9.809,32.066,0.09,1.031,1.111e-7,-0.049,-0.002
38.707,8738.007,1114.009,-1137.013,-1.113,-9.813,32.062,0.09,1.146,1.111e-7,-0.049,-0.002
38.757,8737.939,1115.123,-1138.167,-1.604,-9.816,32.057,0.091,1.261,1.111e-7,-0.048,-0.002
38.807,8737.846,1116.236,-1139.32,-2.095,-9.819,32.053,0.092,1.375,1.111e-7,-0.048,-0.002
38.857,8737.729,1117.349,-1140.473,-2.586,-9.824,32.048,0.094,1.49,1.111e-7,-0.047,-0.002
38.907,8737.588,1118.461,-1141.626,-3.077,-9.828,32.043,0.096,1.604,1.111e-7,-0.047,-0.002
38.957,8737.422,1119.574,-1142.779,-3.569,-9.827,32.039,0.095,1.604,1.111e-7,-0.046,-0.002
39.007,8737.231,1120.686,-1143.931,-4.06,-9.826,32.034,0.095,1.662,1.111e-7,-0.046,-0.002
39.057,8737.016,1121.798,-1145.084,-4.551,-9.827,32.029,0.097,1.719,1.111e-7,-0.045,-0.002
39.107,8736.776,1122.911,-1146.236,-5.043,-9.825,32.024,0.096,1.719,1.111e-7,-0.045,-0.002
39.157,8736.511,1124.022,-1147.388,-5.534,-9.823,32.019,0.096,1.719,1.111e-7,-0.044,-0.002
39.207,8736.222,1125.134,-1148.54,-6.025,-9.83,32.014,0.101,1.833,1.111e-7,-0.044,-0.002
39.257,8735.909,1126.246,-1149.691,-6.517,-9.835,32.009,0.105,1.948,1.111e-7,-0.043,-0.001
39.307,8735.571,1127.357,-1150.843,-7.009,-9.837,32.004,0.107,2.005,1.111e-7,-0.043,-0.001
39.357,8735.208,1128.468,-1151.994,-7.501,-9.838,31.999,0.109,2.063,1.111e-7,-0.042,-9.549e-4
39.407,8734.821,1129.58,-1153.145,-7.993,-9.84,31.993,0.112,2.12,1.111e-7,-0.042,-7.958e-4
39.457,8734.409,1130.69,-1154.296,-8.485,-9.84,31.987,0.114,2.12,1.111e-7,-0.041,-7.958e-4
39.507,8733.972,1131.801,-1155.447,-8.977,-9.842,31.982,0.117,2.177,1.111e-7,-0.04,-6.366e-4
39.557,8733.511,1132.911,-1156.597,-9.469,-9.839,31.976,0.117,2.177,1.111e-7,-0.04,-6.366e-4
39.607,8733.025,1134.022,-1157.747,-9.96,-7.665,31.97,7.791,2.12,1.111e-7,-0.039,-6.366e-4
39.698,8732.082,1136.031,-1159.828,-10.662,-7.545,31.257,7.547,0.802,1.111e-7,-0.039,-0.001
39.792,8731.05,1138.041,-1161.912,-11.369,-7.405,30.55,7.455,0.401,1.111e-7,0.039,-6.366e-4
39.887,8729.934,1140.037,-1163.98,-12.074,-7.306,29.841,7.111,1.891,1.111e-7,0.039,-7.76e-5
39.985,8728.715,1142.045,-1166.061,-12.79,-7.185,29.143,6.916,3.266,1.111e-7,0.039,7.832e-5
40.086,8727.396,1144.05,-1168.139,-13.511,-7.057,28.45,6.761,4.641,1.111e-7,0.039,1.585e-4
40.188,8725.977,1146.047,-1170.209,-14.233,-6.948,27.758,6.518,6.188,1.111e-7,0.039,1.592e-4
40.293,8724.445,1148.045,-1172.28,-14.962,-6.847,27.074,6.244,7.85,1.111e-7,0.039,1.535e-4
40.401,8722.79,1150.047,-1174.357,-15.701,-6.735,26.4,6.026,9.511,1.111e-7,0.039,1.589e-4
40.512,8721.012,1152.049,-1176.433,-16.446,-6.594,25.733,5.937,10.943,1.111e-7,0.039,1.592e-4
40.624,8719.116,1154.036,-1178.494,-17.189,-6.487,25.064,5.711,12.662,1.111e-7,0.039,1.592e-4
40.74,8717.084,1156.022,-1180.554,-17.94,-6.355,24.403,5.581,14.267,1.111e-7,0.039,1.592e-4
40.858,8714.918,1157.997,-1182.604,-18.691,-6.224,23.743,5.445,15.871,1.111e-7,0.039,1.592e-4
40.979,8712.613,1159.962,-1184.642,-19.444,-6.112,23.085,5.236,17.704,1.111e-7,0.039,1.592e-4
41.103,8710.15,1161.924,-1186.679,-20.203,-5.936,22.434,5.247,18.908,1.111e-7,0.039,1.592e-4
41.23,8707.552,1163.86,-1188.688,-20.953,-5.815,21.772,5.066,20.741,1.111e-7,0.039,1.592e-4
41.359,8704.787,1165.789,-1190.691,-21.707,-5.67,21.115,4.959,22.345,1.111e-7,0.039,1.592e-4
41.492,8701.855,1167.703,-1192.678,-22.459,-5.528,20.457,4.834,24.064,1.111e-7,0.039,1.592e-4
41.628,8698.745,1169.604,-1194.653,-23.212,-5.425,19.798,4.583,26.241,1.111e-7,0.039,1.592e-4
41.769,8695.423,1171.506,-1196.629,-23.976,-5.265,19.153,4.491,27.846,1.111e-7,0.039,1.592e-4
41.914,8691.904,1173.392,-1198.589,-24.737,-5.073,18.504,4.485,29.106,1.111e-7,0.039,1.592e-4
42.061,8688.195,1175.253,-1200.523,-25.486,-4.937,17.842,4.308,31.054,1.111e-7,0.039,1.592e-4
42.214,8684.248,1177.105,-1202.449,-26.239,-4.792,17.184,4.145,33.002,1.111e-7,0.039,1.592e-4
42.372,8680.047,1178.95,-1204.367,-26.996,-4.591,16.53,4.127,34.206,1.111e-7,0.039,1.592e-4
42.534,8675.614,1180.768,-1206.259,-27.739,-4.405,15.862,4.056,35.695,1.111e-7,0.039,3.183e-4
42.701,8670.92,1182.564,-1208.128,-28.475,-4.236,15.184,3.932,37.357,1.111e-7,0.039,1.592e-4
42.874,8665.93,1184.343,-1209.98,-29.208,-4.056,14.504,3.823,39.018,1.111e-7,0.039,1.592e-4
43.053,8660.624,1186.103,-1211.813,-29.936,-3.855,13.818,3.762,40.336,1.111e-7,0.039,3.183e-4
43.239,8655,1187.834,-1213.617,-30.651,-3.698,13.12,3.565,42.342,1.111e-7,0.039,1.592e-4
43.433,8648.963,1189.555,-1215.411,-31.371,-3.488,12.426,3.498,43.659,1.111e-7,0.039,3.183e-4
43.636,8642.541,1191.246,-1217.176,-32.078,-3.304,11.718,3.347,45.436,1.111e-7,0.039,1.592e-4
43.848,8635.646,1192.917,-1218.92,-32.78,-3.133,11.006,3.135,47.498,1.111e-7,0.039,1.592e-4
44.074,8628.171,1194.579,-1220.656,-33.487,-2.916,10.299,3.035,48.873,1.111e-7,0.039,1.592e-4
44.312,8620.131,1196.211,-1222.363,-34.18,-2.644,9.578,3.097,49.274,1.111e-7,0.039,3.183e-4
44.557,8611.658,1197.772,-1223.996,-34.829,-2.479,8.817,2.847,51.452,1.111e-7,0.039,3.183e-4
44.822,8602.344,1199.315,-1225.613,-35.486,-2.28,8.063,2.663,53.228,1.111e-7,0.039,1.592e-4
45.107,8592.128,1200.827,-1227.2,-36.136,-2.069,7.303,2.494,54.832,1.111e-7,0.039,1.592e-4
45.416,8580.876,1202.299,-1228.747,-36.775,-1.846,6.534,2.348,56.264,1.111e-7,0.039,1.592e-4
45.751,8568.46,1203.715,-1230.238,-37.393,-1.57,5.748,2.416,56.379,1.111e-7,0.039,3.183e-4
46.098,8555.389,1204.986,-1231.581,-37.938,-1.356,4.909,2.335,57.296,1.111e-7,0.039,3.183e-4
46.468,8541.243,1206.123,-1232.789,-38.44,-1.211,4.045,1.992,59.702,1.111e-7,0.039,3.183e-4
46.897,8524.643,1207.183,-1233.922,-38.959,-1.032,3.19,1.693,61.822,1.111e-7,0.039,3.183e-4
47.397,8505.035,1208.122,-1234.937,-39.475,-0.805,2.344,1.599,62.682,1.111e-7,0.039,3.183e-4
47.897,8485.196,1208.776,-1235.657,-39.878,-0.63,1.545,1.456,63.713,1.111e-7,0.039,3.183e-4
48.397,8465.179,1209.164,-1236.102,-40.193,-0.454,0.818,1.551,63.312,1.111e-7,0.039,3.183e-4
48.897,8445.026,1209.291,-1236.277,-40.42,-0.355,0.075,1.391,64.343,1.111e-7,0.039,3.183e-4
49.397,8424.771,1209.16,-1236.189,-40.598,-0.295,0.659,1.062,66.406,1.111e-7,0.039,3.183e-4
49.897,8404.436,1208.817,-1235.881,-40.745,-0.235,1.188,0.759,68.239,1.111e-7,0.039,3.183e-4
50.397,8384.034,1208.314,-1235.41,-40.863,-0.164,1.567,0.703,68.583,1.111e-7,0.039,3.183e-4
50.897,8363.582,1207.686,-1234.807,-40.945,-0.117,1.918,0.504,69.786,1.111e-7,0.039,3.183e-4
51.397,8343.095,1206.952,-1234.095,-41.003,-0.056,2.17,0.703,68.64,1.111e-7,0.039,3.183e-4
51.897,8322.586,1206.114,-1233.274,-41.032,-0.031,2.522,0.577,69.385,1.111e-7,0.039,3.183e-4
52.397,8302.066,1205.164,-1232.339,-41.047,-0.008,2.81,0.478,69.958,1.111e-7,0.039,3.183e-4
52.897,8281.542,1204.123,-1231.309,-41.051,0.012,3.049,0.408,70.417,1.111e-7,0.039,3.183e-4
53.397,8261.018,1203.005,-1230.199,-41.045,0.027,3.253,0.347,70.76,1.111e-7,0.039,3.183e-4
53.897,8240.499,1201.821,-1229.021,-41.031,0.056,3.427,0.627,69.156,1.111e-7,0.039,3.183e-4
54.397,8219.991,1200.551,-1227.756,-41.003,0.054,3.74,0.457,70.13,1.111e-7,0.039,3.183e-4
54.897,8199.496,1199.187,-1226.395,-40.976,0.062,3.969,0.461,70.073,1.111e-7,0.039,3.183e-4
55.397,8179.015,1197.743,-1224.951,-40.946,0.06,4.199,0.246,71.333,1.111e-7,0.039,3.183e-4
55.897,8158.55,1196.237,-1223.444,-40.915,0.065,4.323,0.083,72.307,1.111e-7,0.039,3.183e-4
56.397,8138.1,1194.702,-1221.908,-40.883,0.071,4.364,0.072,72.365,1.111e-7,0.039,3.183e-4
56.897,8117.668,1193.154,-1220.357,-40.847,0.076,4.4,0.065,72.422,1.111e-7,0.039,3.183e-4
57.397,8097.254,1191.594,-1218.794,-40.809,0.079,4.433,0.083,73.281,1.111e-7,0.039,3.183e-4
57.897,8076.859,1190.037,-1217.232,-40.77,0.082,4.391,0.032,72.594,1.111e-7,0.039,3.183e-4
58.397,8056.484,1188.484,-1215.674,-40.729,0.086,4.407,0.237,71.391,1.111e-7,0.039,3.183e-4
58.897,8036.131,1186.908,-1214.092,-40.685,0.084,4.526,0.037,72.594,1.111e-7,0.039,3.183e-4
59.397,8015.799,1185.308,-1212.485,-40.643,0.086,4.544,0.145,71.963,1.111e-7,0.039,3.183e-4
59.897,7995.488,1183.692,-1210.862,-40.6,0.085,4.616,0.018,72.651,1.111e-7,0.039,3.183e-4
