# Time (s),Altitude (m),Position East of launch (m),Position North of launch (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Lateral velocity (m/s),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
1.266,153.202,9.892,-9.901,258.814,231.27,27.521,26.153,0.401,0,0.006,7.039e-6
1.308,164.276,10.725,-10.736,268.548,232.23,28.647,27.571,0.229,0,0.013,1.631e-5
1.358,177.994,11.762,-11.774,280.184,233.187,30.082,29.989,0.01,0,-0.016,-2.238e-5
1.408,192.295,12.853,-12.866,291.863,233.952,31.655,32.725,0.286,0,-0.011,-1.208e-5
1.458,207.181,14,-14.015,303.581,234.768,33.317,33.501,0.286,-5.987e-9,-0.001,-1.389e-5
1.491,217.327,14.79,-14.806,311.337,235.277,34.418,33.075,0.229,-5.449e-9,0.005,-1.923e-5
1.541,233.026,16.021,-16.04,322.957,234.379,36.018,31.481,0.057,-9.492e-9,0.011,-1.693e-5
1.581,246.298,17.07,-17.091,332.439,233.83,37.256,29.627,0.057,-9.63e-9,-0.011,7.086e-6
1.631,263.211,18.411,-18.435,344.062,231.094,38.675,27.179,0.229,-8.413e-9,-0.003,4.445e-6
1.641,266.664,18.685,-18.709,346.371,230.512,38.945,26.875,0.286,-8.558e-9,-6.366e-4,5.488e-6
1.656,271.885,19.1,-19.125,349.825,230.053,39.347,26.829,0.286,-9.207e-9,0.004,6.334e-6
1.679,279.814,19.73,-19.756,354.992,229.218,39.958,27.553,0.172,-8.212e-9,0.009,4.09e-6
1.684,281.77,19.886,-19.912,356.252,229,40.11,27.814,0.172,-8.212e-9,0.011,4.99e-6
1.692,284.717,20.12,-20.147,358.135,227.502,40.341,28.11,0.115,-8.243e-9,0.012,4.962e-6
1.705,289.166,20.475,-20.502,360.936,225.244,40.692,28.569,0.057,-8.217e-9,0.013,-5.758e-6
1.716,293.286,20.803,-20.831,363.487,223.166,41.019,28.941,0.021,-8.206e-9,0.014,-3.67e-5
1.733,299.521,21.3,-21.329,367.285,222.065,41.52,29.772,0.045,-8.196e-9,-0.013,-3.154e-5
1.759,308.994,22.058,-22.089,372.948,220.48,42.296,30.853,0.115,-7.405e-9,-0.011,-1.388e-5
1.784,318.516,22.822,-22.855,378.517,218.973,43.087,31.417,0.172,-6.037e-9,-0.006,-1.309e-5
1.822,333.063,23.995,-24.03,386.77,215.322,44.272,30.704,0.115,-5.069e-9,0.003,-1.359e-5
1.872,352.669,25.585,-25.623,397.424,210.796,45.746,28.412,0.009,-1.034e-8,0.007,7.834e-5
1.922,372.802,27.225,-27.267,407.85,206.264,47.112,26.12,0.115,0,-0.004,1.186e-5
1.938,379.347,27.759,-27.803,411.135,204.789,47.525,25.548,0.115,0,-0.001,8.637e-6
1.962,389.264,28.569,-28.615,416.023,202.905,48.134,25.56,0.115,0,0.004,5.612e-6
1.998,404.356,29.803,-29.852,423.267,199.927,49.075,26.851,0.007,0,-0.007,-1.592e-4
2.048,425.768,31.56,-31.613,433.162,195.885,50.446,27.719,0.115,0,-0.002,-3.514e-5
2.098,447.669,33.366,-33.424,442.86,192.063,51.811,26.605,0.048,-7.133e-9,0.004,-4.954e-5
2.138,465.563,34.846,-34.908,450.494,189.059,52.844,24.98,0.026,-8.469e-9,-0.005,-4.194e-5
2.188,488.323,36.734,-36.8,459.898,187.08,54.053,23.557,0.115,-1.837e-8,6.366e-4,4.639e-6
2.238,511.551,38.663,-38.735,469.195,184.753,55.25,24.713,0.011,-1.792e-8,0.006,-1.381e-4
2.288,535.241,40.636,-40.713,478.374,182.46,56.51,25.31,0.029,-1.978e-8,-0.004,-3.259e-5
2.338,559.386,42.653,-42.737,487.441,180.194,57.782,25.579,0.057,-1.724e-8,-0.001,-4.475e-6
2.388,583.983,44.716,-44.805,496.397,178.087,59.048,24.926,0.033,-1.25e-8,0.002,2.209e-6
2.438,609.025,46.822,-46.918,505.251,176.049,60.261,23.59,0.034,-1.41e-8,-0.002,1.008e-5
2.488,634.506,48.97,-49.072,514.001,173.941,61.413,22.625,0.057,-1.62e-8,0.002,-1.198e-5
2.491,636.049,49.1,-49.202,514.523,173.809,61.481,22.606,0.057,-1.62e-8,0.002,-1.424e-5
2.496,638.366,49.295,-49.399,515.304,173.51,61.583,22.576,0.057,-1.622e-8,0.003,-1.324e-5
2.502,641.848,49.589,-49.693,516.474,173.054,61.735,22.599,0.057,-1.62e-8,0.003,-1.169e-5
2.512,647.087,50.031,-50.137,518.223,172.348,61.965,22.809,0.057,-1.62e-8,0.004,-6.565e-6
2.528,654.977,50.697,-50.805,520.832,171.277,62.314,23.197,0.027,-1.638e-8,0.005,-3.013e-5
2.55,666.886,51.704,-51.815,524.716,169.659,62.85,23.823,0.024,-1.639e-8,-0.005,-8.192e-5
2.585,684.916,53.23,-53.346,530.472,167.292,63.672,24.223,0.057,-1.827e-8,-0.003,-3.764e-5
2.6,693.15,53.928,-54.046,533.055,166.238,64.047,24.233,0.057,-1.808e-8,-0.002,-2.211e-5
2.623,705.575,54.983,-55.104,536.846,160.214,64.603,23.586,0.057,-1.789e-8,3.183e-4,-2.508e-5
2.658,724.374,56.582,-56.709,542.271,151.245,65.399,22.018,0.057,-1.633e-8,0.004,-4.98e-5
2.708,751.671,58.908,-59.043,549.514,138.447,66.426,18.999,0.022,-1.628e-8,-0.005,-2.028e-5
2.758,779.315,61.269,-61.412,556.115,125.576,67.304,16.318,0.057,-1.67e-8,-0.001,3.17e-5
2.808,807.272,63.658,-63.81,562.068,112.508,68.084,15.09,0.052,-5.755e-9,0.003,-5.411e-6
2.858,835.51,66.074,-66.234,567.363,99.313,68.827,14.608,0.024,-7.356e-9,-0.004,-9.369e-5
2.908,863.997,68.516,-68.685,572,86.152,69.536,13.626,0.057,-8.392e-9,-9.549e-4,-1.204e-5
2.919,870.256,69.053,-69.224,572.926,83.288,69.683,13.28,0.057,-8.335e-9,-3.891e-6,-1.421e-5
2.935,879.664,69.861,-70.035,574.285,82.448,69.9,13.11,0.057,-7.953e-9,0.001,-3.686e-5
2.96,893.816,71.077,-71.256,576.298,81.215,70.217,12.645,0.049,-8.193e-9,0.003,-2.739e-5
2.997,915.137,72.912,-73.097,579.261,79.404,70.666,11.654,0.003,-9.037e-9,0.004,-1.592e-4
3.022,929.7,74.166,-74.356,581.239,78.18,70.949,10.913,0.032,-9.234e-9,-0.004,-5.126e-6
3.06,951.636,76.056,-76.254,584.059,71.614,71.332,9.487,0.057,-9.003e-9,-0.001,-1.662e-5
3.11,980.925,78.581,-78.789,587.419,62.784,71.777,8.48,0.057,-1.057e-8,0.002,-1.056e-5
3.138,997.605,80.02,-80.233,589.128,57.737,72.014,8.226,0.034,-9.672e-9,0.004,-3.123e-5
3.181,1022.71,82.186,-82.408,591.438,50.894,72.359,7.962,0.004,-9.497e-9,-0.004,-4.775e-4
3.231,1052.342,84.746,-84.979,593.781,42.84,72.751,7.814,0.057,-1.234e-8,-0.003,-7.495e-5
3.281,1082.081,87.32,-87.563,595.724,34.882,73.127,7.066,0.057,-2.475e-8,0.001,-2.462e-5
3.3,1093.687,88.326,-88.573,596.373,31.828,73.259,6.474,0.057,-2.51e-8,0.003,-1.762e-5
3.329,1111.117,89.837,-90.091,597.197,24.59,73.425,4.866,0.027,-2.427e-8,0.004,-2.589e-5
3.373,1137.3,92.11,-92.373,598.037,13.777,73.582,2.245,0.051,-2.236e-8,-0.004,8.707e-6
3.388,1146.263,92.888,-93.154,598.216,10.075,73.609,1.411,0.057,-2.242e-8,-0.003,2.569e-6
3.41,1159.711,94.055,-94.327,598.408,7.072,73.633,0.777,0.115,-2.27e-8,-9.549e-4,2.114e-5
3.441,1177.979,95.641,-95.92,598.561,2.936,73.65,0.453,0.057,-2.384e-8,0.002,4.779e-5
3.487,1205.387,98.021,-98.31,598.667,1.68,73.686,1.168,0.019,-2.185e-8,0.004,8.736e-5
3.537,1235.322,100.621,-100.923,598.716,0.289,73.769,2.103,0.056,-1.988e-8,-0.003,5.508e-6
3.544,1239.641,100.997,-101.3,598.718,0.093,73.784,2.195,0.057,-1.988e-8,-0.003,3.207e-8
3.555,1246.121,101.56,-101.866,598.714,-0.699,73.808,2.187,0.057,-1.975e-8,-0.002,-4.31e-6
3.571,1255.84,102.406,-102.715,598.693,-1.867,73.843,2.011,0.057,-1.956e-8,-7.958e-4,5.562e-6
3.595,1270.418,103.675,-103.99,598.627,-3.591,73.887,1.57,0.054,-1.916e-8,7.958e-4,2.107e-5
3.609,1278.555,104.383,-104.702,598.572,-4.548,73.906,1.295,0.044,-1.902e-8,0.001,3.727e-5
3.629,1290.759,105.446,-105.77,598.43,-9.364,73.923,0.399,0.027,-1.934e-8,0.002,5.489e-5
3.66,1309.057,107.041,-107.373,598.033,-16.559,73.914,1.047,0.007,-1.908e-8,-0.003,3.183e-4
3.688,1325.809,108.502,-108.841,597.477,-23.138,73.866,2.361,0.037,-1.9e-8,-0.002,7.162e-5
3.73,1350.902,110.691,-111.04,596.446,-25.917,73.75,3.048,0.057,-1.706e-8,3.183e-4,1.123e-4
3.778,1379.48,113.183,-113.545,595.126,-29.16,73.599,3.167,0.038,-2.416e-8,0.003,1.504e-4
3.819,1403.855,115.31,-115.682,593.875,-31.864,73.475,2.77,0.014,-2.309e-8,-0.004,3.183e-4
3.853,1424.027,117.071,-117.452,592.731,-35.395,73.384,2.612,0.057,-2.18e-8,-0.002,9.586e-5
3.897,1450.071,119.346,-119.739,591.001,-43.217,73.246,3.757,0.052,-2.332e-8,6.366e-4,9.946e-5
3.947,1479.564,121.925,-122.331,588.696,-48.992,73.013,5.611,0.024,-2.016e-8,-0.001,1.491e-4
3.981,1499.551,123.674,-124.088,586.963,-52.95,72.806,6.497,0.05,-1.923e-8,2.072e-5,1.262e-4
3.997,1508.935,124.495,-124.914,586.11,-53.619,72.701,6.644,0.054,-1.931e-8,9.549e-4,1.267e-4
4.021,1522.987,125.724,-126.149,584.826,-53.43,72.543,6.489,0.044,-1.838e-8,0.002,1.577e-4
4.057,1544.006,127.563,-127.998,582.907,-53.183,72.317,5.996,0.01,-1.787e-8,0.003,6.366e-4
4.107,1573.085,130.108,-130.557,580.256,-52.864,72.041,5.154,0.049,-1.459e-8,-0.002,1.324e-4
4.157,1602.032,132.643,-133.106,577.623,-52.425,71.785,5.282,0.037,-5.395e-9,6.366e-4,1.036e-4
4.207,1630.848,135.169,-135.646,575.016,-51.881,71.491,6.28,0.04,-5.989e-9,-3.183e-4,-2.26e-5
4.257,1659.534,137.684,-138.175,572.431,-51.515,71.186,5.9,0.016,0,0.001,-1.15e-4
4.307,1688.091,140.189,-140.694,569.864,-51.152,70.899,5.563,0.006,0,-0.002,-3.183e-4
4.357,1716.52,142.684,-143.203,567.315,-50.807,70.633,5.151,0.034,0,-4.775e-4,-8.279e-5
4.407,1744.823,145.169,-145.703,564.784,-50.414,70.378,5.124,0.031,0,0.002,-4.168e-5
4.457,1772.999,147.646,-148.194,562.275,-49.974,70.112,5.483,0.001,0,-0.002,-1.592e-4
4.507,1801.051,150.112,-150.675,559.786,-49.561,69.835,5.669,0.021,0,-0.002,5.165e-5
4.557,1828.978,152.569,-153.146,557.32,-49.122,69.536,6.142,0.057,-5.26e-9,6.366e-4,3.61e-5
4.607,1856.783,155.014,-155.607,554.872,-48.802,69.238,5.735,0.033,0,0.004,1.449e-5
4.657,1884.466,157.45,-158.057,552.439,-48.511,68.965,5.165,0.011,0,-0.004,-1.326e-4
4.707,1912.027,159.876,-160.499,550.021,-48.217,68.719,4.647,0.05,0,-0.002,-4.517e-5
4.757,1939.468,162.294,-162.932,547.617,-47.917,68.505,4.155,0.057,-6.04e-9,0.002,-3.575e-5
4.807,1966.789,164.705,-165.358,545.233,-47.44,68.277,5.009,0.012,-7.891e-9,0.005,2.293e-5
4.857,1993.992,167.106,-167.775,542.873,-46.966,68.004,5.89,0.057,-7.815e-9,-0.003,1.79e-5
4.907,2021.077,169.497,-170.181,540.536,-46.545,67.691,6.409,0.115,-8.254e-9,0.002,-2.028e-5
4.957,2048.045,171.877,-172.577,538.214,-46.323,67.392,5.433,0.033,0,0.007,-3.619e-5
5.007,2074.898,174.248,-174.963,535.902,-46.152,67.154,4.141,0.057,0,-0.005,-3.532e-5
5.057,2101.636,176.61,-177.342,533.601,-45.865,66.963,3.74,0.115,-7.458e-9,3.183e-4,-1.67e-5
5.107,2128.259,178.966,-179.714,531.319,-45.409,66.756,4.58,0.03,-5.65e-9,0.004,-6.282e-5
5.157,2154.768,181.314,-182.078,529.059,-44.993,66.514,5.121,0.022,-6.056e-9,-0.004,3.856e-5
5.207,2181.165,183.653,-184.433,526.82,-44.588,66.243,5.653,0.057,0,-0.002,1.481e-5
5.257,2207.45,185.982,-186.778,524.599,-44.266,65.955,5.644,0.057,-5.539e-9,0.003,4.345e-5
5.307,2233.625,188.301,-189.113,522.39,-44.102,65.702,4.47,0.023,-8.89e-9,-0.005,-1.792e-5
5.357,2259.689,190.612,-191.441,520.19,-43.896,65.503,3.659,0.115,-7.619e-9,-0.001,-2.375e-5
5.407,2285.644,192.916,-193.762,518.003,-43.535,65.314,3.998,0.057,-6.396e-9,0.004,-1.988e-5
5.457,2311.49,195.213,-196.076,515.837,-43.107,65.094,4.849,0.022,0,-0.005,1.49e-6
5.507,2337.228,197.501,-198.381,513.693,-42.695,64.829,5.658,0.115,0,-7.958e-4,-1.969e-5
5.557,2362.86,199.78,-200.676,511.566,-42.412,64.544,5.545,0.115,5.107e-9,0.005,-3.992e-6
5.607,2388.385,202.049,-202.962,509.449,-42.264,64.292,4.448,0.007,5.559e-9,-0.008,3.183e-4
5.657,2413.805,204.309,-205.24,507.339,-42.12,64.098,3.386,0.115,1.165e-8,-0.004,3.049e-5
5.707,2439.119,206.564,-207.512,505.238,-41.877,63.945,3.005,0.115,3.532e-8,0.003,9.586e-6
5.757,2464.329,208.813,-209.779,503.155,-41.422,63.77,4.16,0.022,4.598e-8,0.008,1.592e-4
5.807,2489.435,211.055,-212.038,501.097,-40.931,63.519,5.684,0.115,4.203e-8,-0.005,4.574e-5
5.857,2514.439,213.287,-214.288,499.058,-40.664,63.233,5.548,0.115,4.678e-8,0.003,1.583e-5
5.907,2539.341,215.509,-216.527,497.028,-40.553,62.985,4.277,5.613e-4,4.894e-8,0.006,0.001
5.957,2564.142,217.724,-218.76,495.003,-40.425,62.803,3.206,0.115,5.295e-8,-0.003,-3.608e-5
6.007,2588.841,219.932,-220.986,492.989,-40.118,62.638,3.461,0.057,4.565e-8,0.002,-2.69e-5
6.057,2613.441,222.135,-223.207,490.991,-39.781,62.457,3.906,0.023,4.6e-8,0.005,1.592e-4
6.107,2637.941,224.33,-225.42,489.012,-39.373,62.234,4.951,0.057,4.227e-8,-0.004,5.534e-5
6.157,2662.342,226.517,-227.625,487.052,-39.064,61.973,5.308,0.115,5.149e-8,0.003,2.776e-5
6.207,2686.646,228.694,-229.821,485.103,-38.921,61.726,4.443,0.033,4.455e-8,0.008,1.592e-4
6.257,2710.853,230.864,-232.008,483.159,-38.828,61.534,3.299,0.057,4.588e-8,-0.006,9.767e-5
6.307,2734.962,233.027,-234.191,481.222,-38.652,61.386,2.771,0.115,4.94e-8,9.25e-5,6.494e-5
6.357,2758.975,235.186,-236.368,479.296,-38.33,61.242,3.238,0.057,4.759e-8,0.007,1.274e-4
6.407,2782.892,237.338,-238.539,477.392,-37.863,61.036,4.842,0.057,5.298e-8,-0.006,9.409e-5
6.457,2806.715,239.483,-240.702,475.506,-37.603,60.789,4.925,0.115,5.93e-8,-2.707e-5,5.419e-5
6.507,2830.443,241.618,-242.856,473.63,-37.42,60.55,4.505,0.057,6.248e-8,0.005,4.191e-5
6.557,2854.078,243.746,-245.003,471.762,-37.302,60.346,3.65,0.021,6.33e-8,-0.006,1.592e-4
6.607,2877.619,245.867,-247.143,469.901,-37.143,60.178,3.131,0.057,6.521e-8,-0.003,4.8e-5
6.657,2901.068,247.982,-249.277,468.049,-36.924,60.028,3.019,0.057,6.347e-8,0.002,5.948e-5
6.707,2924.424,250.092,-251.406,466.211,-36.593,59.864,3.639,0.015,6.045e-8,0.005,3.183e-4
6.757,2947.689,252.195,-253.529,464.39,-36.243,59.661,4.438,0.057,6.522e-8,-0.004,8.652e-5
6.807,2970.864,254.291,-255.644,462.585,-35.97,59.428,4.721,0.115,6.807e-8,0.002,7.846e-5
6.857,2993.948,256.378,-257.75,460.791,-35.832,59.205,4.048,0.032,6.587e-8,0.007,1.592e-4
6.907,3016.943,258.458,-259.85,459.001,-35.766,59.034,2.888,0.057,6.79e-8,-0.005,7.85e-5
6.957,3039.848,260.533,-261.945,457.216,-35.583,58.902,2.578,0.115,6.807e-8,0.001,6.788e-5
7.007,3062.665,262.604,-264.035,455.445,-35.234,58.755,3.431,0.019,6.567e-8,0.006,4.775e-4
7.057,3085.393,264.667,-266.118,453.694,-34.849,58.551,4.607,0.115,6.492e-8,-0.003,1.042e-4
7.107,3108.034,266.723,-268.194,451.957,-34.636,58.318,4.565,0.115,6.938e-8,0.004,8.773e-5
7.157,3130.589,268.771,-270.262,450.228,-34.539,58.106,3.717,0.014,7.802e-8,0.008,6.366e-4
7.207,3153.057,270.813,-272.324,448.501,-34.53,57.96,2.272,0.115,7.838e-8,-0.004,5.212e-5
7.257,3175.439,272.85,-274.381,446.778,-34.327,57.857,2.168,0.115,7.423e-8,0.006,7.803e-5
7.307,3197.735,274.883,-276.435,445.073,-33.896,57.712,3.691,0.022,8.056e-8,-0.009,4.775e-4
7.357,3219.947,276.91,-278.481,443.388,-33.532,57.494,4.843,0.115,8.257e-8,-0.003,9.035e-5
7.407,3242.074,278.928,-280.52,441.716,-33.383,57.255,4.437,0.115,8.566e-8,0.006,8.259e-5
7.457,3264.118,280.939,-282.551,440.047,-33.387,57.071,2.956,0.041,9.061e-8,-0.008,1.296e-4
7.507,3286.079,282.944,-284.577,438.379,-33.3,56.945,2.195,0.115,9.966e-8,-0.002,1.833e-5
7.557,3307.956,284.945,-286.598,436.719,-33.071,56.838,2.387,0.115,1.018e-7,0.006,-1.18e-5
7.607,3329.751,286.942,-288.616,435.075,-32.668,56.68,3.862,0.057,9.686e-8,-0.007,1.733e-5
7.657,3351.464,288.931,-290.626,433.45,-32.381,56.466,4.556,0.115,9.175e-8,-7.184e-5,6.624e-6
7.707,3373.096,290.913,-292.629,431.835,-32.251,56.243,4.128,0.115,9.944e-8,0.008,1.943e-5
7.757,3394.648,292.888,-294.625,430.222,-32.272,56.073,2.662,0.057,1.002e-7,-0.009,-1.95e-5
7.807,3416.118,294.858,-296.616,428.608,-32.229,55.97,1.697,0.172,1.02e-7,-0.001,-2.383e-5
7.857,3437.509,296.825,-298.604,427.003,-31.95,55.876,2.325,0.115,1.026e-7,0.008,4.919e-6
7.907,3458.819,298.787,-300.587,425.417,-31.511,55.713,4.146,0.115,1.025e-7,-0.007,3.189e-5
7.957,3480.051,300.742,-302.563,423.849,-31.234,55.479,4.871,0.172,1.121e-7,0.003,3.154e-5
8.007,3501.204,302.689,-304.531,422.288,-31.227,55.261,3.654,0.053,1.108e-7,0.011,7.331e-5
8.057,3522.279,304.629,-306.493,420.725,-31.307,55.124,1.922,0.115,1.051e-7,-0.009,4.55e-6
8.107,3543.276,306.566,-308.451,419.16,-31.212,55.05,1.396,0.172,1.098e-7,0.003,2.166e-5
8.157,3564.196,308.5,-310.407,417.609,-30.822,54.946,2.87,0.023,1.222e-7,0.01,3.183e-4
8.207,3585.038,310.429,-312.357,416.077,-30.459,54.768,4.215,0.115,1.292e-7,-0.006,5.886e-5
8.257,3605.804,312.35,-314.3,414.562,-30.205,54.531,4.88,0.172,1.301e-7,0.005,6.853e-5
8.307,3626.494,314.263,-316.235,413.051,-30.277,54.325,3.193,0.017,1.256e-7,0.013,4.775e-4
8.357,3647.109,316.171,-318.165,411.533,-30.393,54.217,1.317,0.172,1.309e-7,-0.007,3.164e-5
8.407,3667.647,318.076,-320.092,410.016,-30.228,54.161,1.322,0.172,1.307e-7,0.006,1.521e-5
8.457,3688.111,319.978,-322.016,408.516,-29.79,54.05,3.173,0.022,1.365e-7,-0.012,1.592e-4
8.507,3708.499,321.874,-323.934,407.035,-29.457,53.854,4.407,0.172,1.407e-7,-0.005,3.987e-5
8.557,3728.814,323.763,-325.846,405.565,-29.367,53.642,3.921,0.115,1.318e-7,0.005,5.427e-5
8.607,3749.056,325.646,-327.75,404.098,-29.355,53.47,2.928,0.005,1.271e-7,0.008,7.958e-4
8.657,3769.224,327.522,-329.649,402.631,-29.314,53.342,2.2,0.057,1.285e-7,-0.006,1.184e-5
8.707,3789.319,329.395,-331.545,401.166,-29.241,53.249,1.666,0.115,1.249e-7,0.001,2.916e-6
8.757,3809.341,331.265,-333.437,399.709,-29.005,53.158,2.197,0.057,1.197e-7,0.009,-2.276e-5
8.807,3829.29,333.131,-335.325,398.268,-28.651,53.011,3.606,0.115,1.174e-7,-0.008,1.741e-5
8.857,3849.168,334.991,-337.207,396.842,-28.444,52.816,4.019,0.115,1.233e-7,3.183e-4,8.497e-6
8.907,3868.974,336.843,-339.082,395.421,-28.383,52.626,3.419,0.057,1.142e-7,0.008,-1.684e-5
8.957,3888.71,338.69,-340.952,394.001,-28.425,52.488,2.12,0.057,1.138e-7,-0.008,-5.547e-5
9.007,3908.375,340.532,-342.817,392.581,-28.364,52.401,1.548,0.115,1.15e-7,-6.366e-4,-4.485e-5
9.057,3927.968,342.372,-344.68,391.168,-28.129,52.313,2.132,0.057,1.211e-7,0.006,-7.577e-5
9.107,3947.492,344.208,-346.539,389.77,-27.803,52.175,3.377,0.057,1.218e-7,-0.006,-1.282e-5
9.157,3966.945,346.038,-348.391,388.386,-27.576,51.984,3.971,0.172,1.145e-7,0.002,-5.443e-6
9.207,3986.33,347.861,-350.238,387.007,-27.593,51.813,2.843,0.022,1.133e-7,0.008,-1.159e-4
9.257,4005.646,349.679,-352.079,385.628,-27.576,51.692,2.005,0.057,1.133e-7,-0.006,-7.227e-5
9.307,4024.893,351.493,-353.917,384.249,-27.532,51.614,1.333,0.172,1.062e-7,0.002,-4.015e-5
9.357,4044.071,353.305,-355.752,382.879,-27.271,51.532,2.115,0.057,1.102e-7,0.009,-9.132e-5
9.407,4063.181,355.113,-357.583,381.524,-26.939,51.39,3.436,0.115,1.1e-7,-0.007,-1.899e-5
9.457,4082.224,356.915,-359.408,380.181,-26.778,51.211,3.583,0.115,1.119e-7,4.775e-4,-1.203e-5
9.507,4101.199,358.711,-361.228,378.845,-26.708,51.041,3.109,0.057,1.08e-7,0.007,-5.12e-5
9.557,4120.108,360.501,-363.041,377.509,-26.714,50.909,2.135,0.048,1.061e-7,-0.008,-1.334e-4
9.607,4138.95,362.287,-364.852,376.173,-26.7,50.828,1.316,0.172,1.098e-7,-0.001,-5.098e-5
9.657,4157.726,364.071,-366.659,374.844,-26.476,50.75,1.906,0.057,1.123e-7,0.005,-6.977e-5
9.707,4176.435,365.852,-368.463,373.526,-26.23,50.637,2.649,0.025,1.126e-7,-0.007,-1.592e-4
9.757,4195.079,367.628,-370.263,372.221,-25.991,50.484,3.389,0.115,1.109e-7,-0.003,-3.355e-5
9.807,4213.657,369.397,-372.056,370.925,-25.841,50.305,3.536,0.172,1.026e-7,0.006,-2.449e-5
9.857,4232.171,371.161,-373.844,369.633,-25.86,50.154,2.509,0.012,1.055e-7,0.01,-4.775e-4
9.907,4250.62,372.92,-375.627,368.34,-25.847,50.047,1.769,0.115,1.027e-7,-0.008,-8.631e-5
9.957,4269.005,374.676,-377.407,367.049,-25.786,49.974,1.337,0.172,9.866e-8,-9.549e-4,-5.075e-5
10.007,4287.325,376.43,-379.185,365.765,-25.549,49.89,2.073,0.046,9.815e-8,0.004,-6.556e-5
10.057,4305.582,378.179,-380.959,364.493,-25.336,49.773,2.627,0.033,9.729e-8,-0.005,-4.749e-5
10.107,4323.775,379.924,-382.728,363.231,-25.152,49.63,3.006,0.115,9.893e-8,-0.001,3.051e-7
10.157,4341.905,381.664,-384.492,361.976,-25.067,49.484,2.711,0.051,1.022e-7,0.003,-8.252e-6
10.207,4359.973,383.399,-386.252,360.723,-25.046,49.369,1.989,0.046,1.028e-7,-0.003,-3.086e-5
10.257,4377.977,385.131,-388.008,359.474,-24.929,49.27,1.951,0.05,1.017e-7,-3.183e-4,-3.941e-5
10.307,4395.92,386.859,-389.76,358.23,-24.807,49.177,1.929,0.05,1.023e-7,0.003,-5.321e-5
10.357,4413.801,388.583,-391.509,356.996,-24.558,49.058,2.712,0.057,1.038e-7,-0.002,1.631e-5
10.407,4431.62,390.303,-393.254,355.771,-24.427,48.925,2.673,0.057,1.052e-7,7.958e-4,-1.986e-6
10.457,4449.378,392.018,-394.993,354.555,-24.251,48.777,3.007,0.115,1.046e-7,0.006,-2.839e-5
10.507,4467.075,393.728,-396.728,353.342,-24.275,48.654,1.961,0.04,1.049e-7,-0.007,-1.312e-4
10.557,4484.712,395.434,-398.459,352.129,-24.226,48.57,1.449,0.115,1.037e-7,-0.004,-5.338e-5
10.607,4502.288,397.137,-400.187,350.92,-24.117,48.505,1.303,0.115,1.056e-7,0.003,-5.682e-5
10.657,4519.804,398.838,-401.913,349.72,-23.855,48.421,2.15,0.006,1.021e-7,0.007,-6.366e-4
10.707,4537.261,400.536,-403.635,348.535,-23.592,48.288,3.05,0.115,1.019e-7,-0.004,3.511e-6
10.757,4554.658,402.227,-405.352,347.359,-23.447,48.13,3.177,0.172,9.866e-8,0.004,-1.187e-6
10.807,4571.997,403.914,-407.063,346.188,-23.405,47.98,2.633,0.057,9.648e-8,0.01,-6.747e-5
10.857,4589.277,405.596,-408.77,345.015,-23.521,47.891,1.051,0.172,9.467e-8,-0.007,-4.759e-5
10.907,4606.498,407.275,-410.475,343.84,-23.434,47.849,0.82,0.229,9.49e-8,0.002,-2.383e-5
10.957,4623.661,408.954,-412.179,342.675,-23.157,47.787,1.784,0.05,9.384e-8,0.008,-2.013e-5
11.007,4640.766,410.628,-413.879,341.526,-22.835,47.662,3.115,0.172,9.557e-8,-0.005,4.455e-5
11.057,4657.814,412.298,-415.574,340.388,-22.689,47.498,3.274,0.172,9.891e-8,0.003,4.74e-5
11.107,4674.805,413.962,-417.263,339.254,-22.688,47.353,2.432,0.057,9.774e-8,0.009,1.125e-4
11.157,4691.739,415.621,-418.948,338.119,-22.724,47.258,1.384,0.115,9.95e-8,-0.008,2.451e-5
11.207,4708.617,417.278,-420.631,336.983,-22.679,47.205,0.881,0.172,9.365e-8,-0.001,-4.703e-7
11.257,4725.437,418.933,-422.312,335.853,-22.49,47.154,1.267,0.115,9.28e-8,0.006,5.464e-6
11.307,4742.202,420.586,-423.99,334.735,-22.223,47.07,2.152,0.027,9.508e-8,-0.008,1.257e-4
11.357,4758.911,422.235,-425.665,333.631,-21.968,46.939,3.022,0.172,9.244e-8,-0.004,4.835e-5
11.407,4775.565,423.879,-427.335,332.537,-21.825,46.779,3.176,0.229,8.774e-8,0.005,4.749e-5
11.457,4792.165,425.518,-428.999,331.445,-21.864,46.645,2.11,0.029,8.44e-8,0.01,1.592e-4
11.507,4808.71,427.152,-430.659,330.351,-21.905,46.566,1.101,0.172,8.547e-8,-0.008,1.749e-5
11.557,4825.2,428.785,-432.318,329.256,-21.86,46.526,0.645,0.229,8.779e-8,3.183e-4,7.813e-6
11.607,4841.635,430.416,-433.975,328.168,-21.639,46.482,1.254,0.115,9.011e-8,0.008,4.743e-5
11.657,4858.017,432.045,-435.63,327.093,-21.349,46.391,2.341,0.057,9.121e-8,-0.008,1.151e-4
11.707,4874.345,433.67,-437.281,326.031,-21.153,46.259,2.854,0.172,9.003e-8,-0.003,5.976e-5
