# Time (s),Position East of launch (m),Position North of launch (m),Vertical acceleration (m/s²),Lateral acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Air temperature (°C),Air pressure (mbar)
183.897,739.49,-764.585,0.049,0.166,71.792,1.111e-7,0.039,3.183e-4,4.741,615.9
184.397,737.657,-762.746,0.047,0.007,72.823,1.111e-7,0.039,3.183e-4,4.891,617.1
184.897,735.811,-760.892,0.05,0.224,74.083,1.111e-7,0.039,1.592e-4,5.04,618.3
185.397,733.984,-759.059,0.047,0.06,73.109,1.111e-7,0.039,3.183e-4,5.189,619.6
185.897,732.183,-757.251,0.047,0.03,72.594,1.111e-7,0.039,3.183e-4,5.338,620.8
186.397,730.384,-755.446,0.048,0.165,71.849,1.111e-7,0.039,3.183e-4,5.487,622.1
186.897,728.569,-753.623,0.048,0.153,71.906,1.111e-7,0.039,3.183e-4,5.636,623.3
187.397,726.725,-751.772,0.048,0.178,71.734,1.111e-7,0.039,3.183e-4,5.784,624.5
187.897,724.852,-749.893,0.046,0.011,72.823,1.111e-7,0.039,3.183e-4,5.933,625.8
188.397,722.964,-747.998,0.047,0.1,72.193,1.111e-7,0.039,3.183e-4,6.081,627
188.897,721.068,-746.095,0.046,0.096,72.25,1.111e-7,0.039,3.183e-4,6.23,628.2
189.397,719.155,-744.176,0.046,0.02,72.88,1.111e-7,0.039,3.183e-4,6.378,629.5
189.897,717.235,-742.249,0.046,0.065,73.167,1.111e-7,0.039,3.183e-4,6.526,630.7
190.397,715.323,-740.33,0.046,0.003,72.766,1.111e-7,0.039,3.183e-4,6.674,631.9
190.897,713.416,-738.417,0.046,0.11,72.135,1.111e-7,0.039,3.183e-4,6.822,633.1
191.397,711.5,-736.494,0.045,0.052,73.109,1.111e-7,0.039,3.183e-4,6.97,634.4
191.897,709.578,-734.565,0.045,0.01,72.823,1.111e-7,0.039,3.183e-4,7.118,635.6
192.397,707.661,-732.642,0.045,0.037,72.594,1.111e-7,0.039,3.183e-4,7.265,636.8
192.897,705.743,-730.717,0.045,0.064,73.167,1.111e-7,0.039,3.183e-4,7.413,638.1
193.397,703.827,-728.794,0.047,0.232,74.141,1.111e-7,0.039,1.592e-4,7.56,639.3
193.897,701.936,-726.897,0.044,0.086,73.281,1.111e-7,0.039,3.183e-4,7.707,640.5
194.397,700.074,-725.029,0.045,0.022,72.938,1.111e-7,0.039,3.183e-4,7.855,641.8
194.897,698.222,-723.169,0.046,0.133,72.021,1.111e-7,0.039,3.183e-4,8.002,643.1
195.397,696.36,-721.301,0.046,3.485e-4,72.766,1.111e-7,0.039,3.183e-4,8.149,644.4
195.897,694.486,-719.42,0.048,0.222,74.083,1.111e-7,0.039,1.592e-4,8.296,645.6
196.397,692.631,-717.559,0.049,0.291,74.485,1.111e-7,0.039,1.592e-4,8.442,646.9
196.897,690.822,-715.743,0.045,0.16,73.74,1.111e-7,0.039,3.183e-4,8.589,648.2
197.397,689.053,-713.967,0.045,0.058,73.109,1.111e-7,0.039,3.183e-4,8.735,649.4
197.897,687.303,-712.211,0.048,0.231,71.448,1.111e-7,0.039,3.183e-4,8.882,650.7
198.397,685.538,-710.439,0.044,0.054,73.109,1.111e-7,0.039,3.183e-4,9.028,652
198.897,683.757,-708.652,0.045,0.016,72.708,1.111e-7,0.039,3.183e-4,9.175,653.3
199.397,681.979,-706.868,0.045,0.017,72.88,1.111e-7,0.039,3.183e-4,9.321,654.5
199.897,680.202,-705.084,0.045,0.049,73.052,1.111e-7,0.039,3.183e-4,9.467,655.8
200.397,678.43,-703.306,0.045,0.016,72.708,1.111e-7,0.039,3.183e-4,9.613,657.1
200.897,676.662,-701.531,0.046,0.151,71.906,1.111e-7,0.039,3.183e-4,9.758,658.3
201.397,674.878,-699.741,0.044,0.043,73.052,1.111e-7,0.039,3.183e-4,9.904,659.6
201.897,673.085,-697.941,0.044,0.014,72.708,1.111e-7,0.039,3.183e-4,10.05,660.9
202.397,671.295,-696.144,0.045,0.106,73.396,1.111e-7,0.039,3.183e-4,10.195,662.1
202.897,669.512,-694.355,0.045,0.136,73.568,1.111e-7,0.039,3.183e-4,10.341,663.4
203.397,667.751,-692.588,0.044,7.375e-4,72.766,1.111e-7,0.039,3.183e-4,10.486,664.7
203.897,666.002,-690.833,0.044,0.027,72.651,1.111e-7,0.039,3.183e-4,10.631,665.9
204.397,664.251,-689.075,0.045,0.171,71.792,1.111e-7,0.039,3.183e-4,10.776,667.2
204.897,662.483,-687.3,0.044,0.098,72.193,1.111e-7,0.039,3.183e-4,10.921,668.4
205.397,660.69,-685.501,0.043,0.026,72.938,1.111e-7,0.039,3.183e-4,11.066,669.7
205.897,658.891,-683.696,0.044,0.153,73.682,1.111e-7,0.039,3.183e-4,11.211,671
206.397,657.108,-681.906,0.046,0.258,74.313,1.111e-7,0.039,1.592e-4,11.356,672.2
206.897,655.362,-680.153,0.042,0.095,73.339,1.111e-7,0.039,3.183e-4,11.5,673.5
207.397,653.646,-678.431,0.042,0.121,73.51,1.111e-7,0.039,3.183e-4,11.645,674.7
207.897,651.95,-676.729,0.042,0.002,72.766,1.111e-7,0.039,3.183e-4,11.789,676
208.397,650.264,-675.037,0.043,0.124,72.078,1.111e-7,0.039,3.183e-4,11.934,677.2
208.897,648.567,-673.333,0.045,0.261,71.276,1.111e-7,0.039,3.183e-4,12.078,678.5
209.397,646.837,-671.596,0.042,0.166,71.792,1.111e-7,0.039,3.183e-4,12.222,679.7
209.897,645.068,-669.821,0.043,0.208,71.562,1.111e-7,0.039,3.183e-4,12.366,681
210.397,643.266,-668.013,0.045,0.249,74.255,1.111e-7,0.039,1.592e-4,12.51,682.3
210.897,641.468,-666.209,0.041,0.049,73.052,1.111e-7,0.039,3.183e-4,12.654,683.6
211.397,639.696,-664.431,0.043,0.155,71.906,1.111e-7,0.039,3.183e-4,12.798,684.9
211.897,637.915,-662.643,0.045,0.235,71.391,1.111e-7,0.039,3.183e-4,12.941,686.3
212.397,636.1,-660.821,0.043,0.144,71.963,1.111e-7,0.039,3.183e-4,13.085,687.6
212.897,634.25,-658.966,0.046,0.284,74.427,1.111e-7,0.039,1.592e-4,13.228,688.9
213.397,632.413,-657.123,0.041,0.044,73.052,1.111e-7,0.039,3.183e-4,13.371,690.2
213.897,630.606,-655.309,0.042,0.076,72.365,1.111e-7,0.039,3.183e-4,13.515,691.5
214.397,628.795,-653.492,0.042,0.02,72.88,1.111e-7,0.039,3.183e-4,13.658,692.8
214.897,626.979,-651.67,0.042,0.026,72.938,1.111e-7,0.039,3.183e-4,13.801,694.1
215.397,625.168,-649.852,0.045,0.22,74.083,1.111e-7,0.039,1.592e-4,13.944,695.4
215.897,623.378,-648.056,0.042,0.133,73.568,1.111e-7,0.039,3.183e-4,14.087,696.6
216.397,621.619,-646.291,0.042,0.06,73.109,1.111e-7,0.039,3.183e-4,14.229,697.9
216.897,619.877,-644.543,0.042,0.085,73.281,1.111e-7,0.039,3.183e-4,14.372,699.2
217.397,618.149,-642.808,0.042,0.063,72.422,1.111e-7,0.039,3.183e-4,14.514,700.5
217.897,616.422,-641.075,0.042,0.066,72.422,1.111e-7,0.039,3.183e-4,14.657,701.8
218.397,614.684,-639.331,0.042,2.71e-4,72.766,1.111e-7,0.039,3.183e-4,14.799,703.1
218.897,612.94,-637.58,0.044,0.213,74.026,1.111e-7,0.039,1.592e-4,14.941,704.4
219.397,611.214,-635.849,0.041,0.006,72.766,1.111e-7,0.039,3.183e-4,15.084,705.7
219.897,609.507,-634.136,0.041,0.028,72.594,1.111e-7,0.039,3.183e-4,15.226,707
220.397,607.797,-632.419,0.041,0.02,72.651,1.111e-7,0.039,3.183e-4,15.368,708.3
220.897,606.083,-630.699,0.041,0.053,72.479,1.111e-7,0.039,3.183e-4,15.51,709.6
221.397,604.362,-628.972,0.041,0.02,72.88,1.111e-7,0.039,3.183e-4,15.651,710.8
221.897,602.638,-627.242,0.041,0.016,72.708,1.111e-7,0.039,3.183e-4,15.793,712.1
222.397,600.915,-625.513,0.041,0.065,72.422,1.111e-7,0.039,3.183e-4,15.935,713.4
222.897,599.185,-623.776,0.041,0.069,72.365,1.111e-7,0.039,3.183e-4,16.076,714.7
223.397,597.442,-622.028,0.04,0.069,73.167,1.111e-7,0.039,3.183e-4,16.217,716
223.897,595.7,-620.279,0.04,0.057,73.109,1.111e-7,0.039,3.183e-4,16.359,717.3
224.397,593.969,-618.542,0.041,0.102,72.193,1.111e-7,0.039,3.183e-4,16.5,718.6
224.897,592.233,-616.801,0.043,0.25,71.333,1.111e-7,0.039,3.183e-4,16.641,719.8
225.397,590.467,-615.028,0.04,0.132,72.021,1.111e-7,0.039,3.183e-4,16.782,721.1
225.897,588.667,-613.222,0.041,0.2,73.969,1.111e-7,0.039,3.183e-4,16.923,722.4
226.397,586.873,-611.422,0.041,0.167,73.74,1.111e-7,0.039,3.183e-4,17.064,723.8
226.897,585.111,-609.654,0.042,0.219,71.505,1.111e-7,0.039,3.183e-4,17.205,725.1
227.397,583.345,-607.882,0.039,0.023,72.938,1.111e-7,0.039,3.183e-4,17.345,726.4
227.897,581.562,-606.093,0.04,0.038,72.536,1.111e-7,0.039,3.183e-4,17.486,727.8
228.397,579.777,-604.302,0.04,0.064,73.167,1.111e-7,0.039,3.183e-4,17.626,729.1
228.897,577.994,-602.513,0.041,0.086,73.281,1.111e-7,0.039,3.183e-4,17.767,730.4
229.397,576.225,-600.738,0.04,0.039,72.536,1.111e-7,0.039,3.183e-4,17.907,731.8
229.897,574.46,-598.967,0.041,0.085,72.307,1.111e-7,0.039,3.183e-4,18.047,733.1
230.397,572.684,-597.184,0.041,0.083,72.307,1.111e-7,0.039,3.183e-4,18.187,734.4
230.897,570.893,-595.387,0.046,0.325,70.875,1.111e-7,0.039,3.183e-4,18.327,735.7
231.397,569.066,-593.554,0.039,0.044,72.536,1.111e-7,0.039,3.183e-4,18.467,737.1
231.897,567.206,-591.689,0.039,0.057,73.109,1.111e-7,0.039,3.183e-4,18.607,738.4
232.397,565.347,-589.824,0.04,0.14,71.963,1.111e-7,0.039,3.183e-4,18.747,739.7
232.897,563.481,-587.952,0.039,0.021,72.88,1.111e-7,0.039,3.183e-4,18.886,741
233.397,561.605,-586.07,0.04,0.162,73.74,1.111e-7,0.039,3.183e-4,19.026,742.4
233.897,559.744,-584.203,0.04,0.16,73.74,1.111e-7,0.039,3.183e-4,19.165,743.7
234.397,557.912,-582.366,0.04,0.137,73.568,1.111e-7,0.039,3.183e-4,19.305,745
234.897,556.107,-580.554,0.04,0.146,71.906,1.111e-7,0.039,3.183e-4,19.444,746.3
235.397,554.3,-578.742,0.04,0.166,73.74,1.111e-7,0.039,3.183e-4,19.583,747.6
235.897,552.495,-576.931,0.039,0.111,72.135,1.111e-7,0.039,3.183e-4,19.722,749
236.397,550.695,-575.125,0.039,0.163,71.849,1.111e-7,0.039,3.183e-4,19.861,750.3
236.897,548.871,-573.295,0.039,0.117,72.078,1.111e-7,0.039,3.183e-4,20,751.6
237.397,547.022,-571.44,0.038,0.075,72.365,1.111e-7,0.039,3.183e-4,20.139,752.9
237.897,545.157,-569.568,0.038,0.029,72.594,1.111e-7,0.039,3.183e-4,20.278,754.2
238.397,543.282,-567.688,0.038,0.031,72.938,1.111e-7,0.039,3.183e-4,20.416,755.5
238.897,541.407,-565.807,0.039,0.173,73.797,1.111e-7,0.039,3.183e-4,20.555,756.8
239.397,539.55,-563.944,0.038,0.081,72.307,1.111e-7,0.039,3.183e-4,20.693,758.2
239.897,537.701,-562.09,0.038,0.125,73.51,1.111e-7,0.039,3.183e-4,20.832,759.5
240.397,535.857,-560.239,0.037,0.034,72.594,1.111e-7,0.039,3.183e-4,20.97,760.8
240.897,534.02,-558.397,0.037,0.051,73.109,1.111e-7,0.039,3.183e-4,21.108,762.1
241.397,532.185,-556.556,0.038,0.144,73.625,1.111e-7,0.039,3.183e-4,21.246,763.4
241.897,530.367,-554.732,0.038,0.136,73.568,1.111e-7,0.039,3.183e-4,21.384,764.7
242.397,528.574,-552.933,0.037,0.016,72.88,1.111e-7,0.039,3.183e-4,21.522,766.1
242.897,526.794,-551.147,0.039,0.153,71.906,1.111e-7,0.039,3.183e-4,21.66,767.4
243.397,525.002,-549.35,0.051,0.5,69.901,1.111e-7,0.039,3.183e-4,21.798,768.8
243.897,523.152,-547.494,0.034,0.077,72.307,1.111e-7,0.039,3.183e-4,21.936,770.1
244.397,521.252,-545.588,0.036,0.012,72.88,1.111e-7,0.039,3.183e-4,22.073,771.5
244.897,519.345,-543.675,0.037,0.011,72.823,1.111e-7,0.039,3.183e-4,22.211,772.9
245.397,517.441,-541.765,0.038,0.117,73.453,1.111e-7,0.039,3.183e-4,22.348,774.2
245.897,515.547,-539.866,0.042,0.317,74.656,1.111e-7,0.039,1.592e-4,22.485,775.6
246.397,513.693,-538.006,0.036,2.071e-4,72.766,1.111e-7,0.039,3.183e-4,22.623,776.9
246.897,511.866,-536.173,0.037,0.091,73.339,1.111e-7,0.039,3.183e-4,22.76,778.3
247.397,510.048,-534.349,0.039,0.205,71.562,1.111e-7,0.039,3.183e-4,22.897,779.6
247.897,508.219,-532.515,0.037,0.055,72.479,1.111e-7,0.039,3.183e-4,23.034,781
248.397,506.367,-530.657,0.037,0.082,72.307,1.111e-7,0.039,3.183e-4,23.171,782.3
248.897,504.504,-528.788,0.039,0.168,71.792,1.111e-7,0.039,3.183e-4,23.307,783.7
249.397,502.618,-526.897,0.039,0.228,71.448,1.111e-7,0.039,3.183e-4,23.444,785.1
249.897,500.697,-524.97,0.039,0.263,74.313,1.111e-7,0.039,1.592e-4,23.581,786.4
250.397,498.779,-523.047,0.036,0.119,73.453,1.111e-7,0.039,3.183e-4,23.717,787.8
250.897,496.895,-521.157,0.043,0.382,75,1.111e-7,0.039,1.592e-4,23.854,789.1
251.397,495.056,-519.312,0.034,0.087,73.281,1.111e-7,0.039,3.183e-4,23.99,790.4
251.897,493.257,-517.508,0.035,0.027,72.938,1.111e-7,0.039,3.183e-4,24.126,791.8
252.397,491.469,-515.714,0.036,0.072,73.224,1.111e-7,0.039,3.183e-4,24.263,793.1
252.897,489.69,-513.929,0.036,0.046,72.536,1.111e-7,0.039,3.183e-4,24.399,794.5
253.397,487.913,-512.146,0.036,0.092,72.25,1.111e-7,0.039,3.183e-4,24.535,795.8
253.897,486.123,-510.351,0.039,0.252,71.333,1.111e-7,0.039,3.183e-4,24.671,797.2
254.397,484.304,-508.526,0.036,0.137,71.963,1.111e-7,0.039,3.183e-4,24.806,798.5
254.897,482.45,-506.666,0.035,0.024,72.651,1.111e-7,0.039,3.183e-4,24.942,799.9
255.397,480.581,-504.792,0.043,0.389,75.057,1.111e-7,0.039,1.592e-4,25.078,801.2
255.897,478.745,-502.95,0.034,0.153,73.682,1.111e-7,0.039,3.183e-4,25.214,802.5
256.397,476.957,-501.156,0.034,0.045,73.052,1.111e-7,0.039,3.183e-4,25.349,803.9
256.897,475.186,-499.38,0.035,0.139,71.963,1.111e-7,0.039,3.183e-4,25.484,805.2
257.397,473.407,-497.595,0.035,0.086,72.307,1.111e-7,0.039,3.183e-4,25.62,806.6
257.897,471.608,-495.791,0.035,0.044,72.536,1.111e-7,0.039,3.183e-4,25.755,807.9
258.397,469.798,-493.975,0.036,0.133,72.021,1.111e-7,0.039,3.183e-4,25.89,809.2
258.897,467.971,-492.143,0.041,0.347,74.828,1.111e-7,0.039,1.592e-4,26.025,810.6
259.397,466.164,-490.33,0.033,0.005,72.823,1.111e-7,0.039,3.183e-4,26.16,812
259.897,464.388,-488.548,0.035,0.093,72.25,1.111e-7,0.039,3.183e-4,26.295,813.4
260.397,462.604,-486.759,0.037,0.174,73.797,1.111e-7,0.039,3.183e-4,26.43,814.8
260.897,460.827,-484.976,0.035,0.007,72.823,1.111e-7,0.039,3.183e-4,26.565,816.1
261.397,459.066,-483.21,0.036,0.009,72.823,1.111e-7,0.039,3.183e-4,26.7,817.5
261.897,457.307,-481.445,0.036,0.005,72.766,1.111e-7,0.039,3.183e-4,26.834,818.9
262.397,455.548,-479.68,0.037,0.103,72.193,1.111e-7,0.039,3.183e-4,26.969,820.3
262.897,453.779,-477.906,0.038,0.185,71.734,1.111e-7,0.039,3.183e-4,27.103,821.7
263.397,451.985,-476.107,0.036,0.069,72.365,1.111e-7,0.039,3.183e-4,27.238,823.1
263.897,450.169,-474.285,0.036,0.035,72.594,1.111e-7,0.039,3.183e-4,27.372,824.5
264.397,448.343,-472.454,0.036,0.032,72.594,1.111e-7,0.039,3.183e-4,27.506,825.8
264.897,446.511,-470.617,0.036,0.128,73.51,1.111e-7,0.039,3.183e-4,27.64,827.2
265.397,444.688,-468.788,0.036,0.09,73.281,1.111e-7,0.039,3.183e-4,27.774,828.6
265.897,442.885,-466.979,0.036,0.109,73.396,1.111e-7,0.039,3.183e-4,27.908,830
266.397,441.099,-465.187,0.035,0.03,72.938,1.111e-7,0.039,3.183e-4,28.042,831.4
266.897,439.325,-463.408,0.04,0.292,71.104,1.111e-7,0.039,3.183e-4,28.176,832.7
267.397,437.528,-461.606,0.036,0.224,71.505,1.111e-7,0.039,3.183e-4,28.31,834.1
267.897,435.685,-459.757,0.034,0.116,72.078,1.111e-7,0.039,3.183e-4,28.443,835.5
268.397,433.812,-457.879,0.035,0.168,71.792,1.111e-7,0.039,3.183e-4,28.577,836.9
268.897,431.914,-455.975,0.035,0.194,71.677,1.111e-7,0.039,3.183e-4,28.71,838.3
269.397,429.984,-454.04,0.035,0.178,71.734,1.111e-7,0.039,3.183e-4,28.844,839.6
269.897,428.021,-452.072,0.035,0.164,71.849,1.111e-7,0.039,3.183e-4,28.977,841
270.397,426.028,-450.073,0.033,0.02,72.651,1.111e-7,0.039,3.183e-4,29.11,842.4
270.897,424.018,-448.058,0.034,0.069,73.167,1.111e-7,0.039,3.183e-4,29.243,843.7
271.397,422.013,-446.048,0.035,0.163,73.74,1.111e-7,0.039,3.183e-4,29.376,845.1
271.897,420.029,-444.058,0.035,0.162,73.74,1.111e-7,0.039,3.183e-4,29.509,846.5
272.397,418.073,-442.097,0.034,0.103,72.193,1.111e-7,0.039,3.183e-4,29.642,847.9
272.897,416.122,-440.141,0.033,0.026,72.651,1.111e-7,0.039,3.183e-4,29.775,849.2
273.397,414.16,-438.173,0.034,0.055,72.479,1.111e-7,0.039,3.183e-4,29.908,850.6
273.897,412.191,-436.198,0.034,0.135,73.568,1.111e-7,0.039,3.183e-4,30.04,852
274.397,410.229,-434.231,0.033,0.023,72.938,1.111e-7,0.039,3.183e-4,30.173,853.3
274.897,408.281,-432.277,0.033,0.051,72.479,1.111e-7,0.039,3.183e-4,30.305,854.7
275.397,406.33,-430.322,0.033,0.036,72.594,1.111e-7,0.039,3.183e-4,30.438,856.1
275.897,404.372,-428.358,0.039,0.326,74.714,1.111e-7,0.039,1.592e-4,30.57,857.4
276.397,402.439,-426.42,0.034,0.195,73.912,1.111e-7,0.039,1.592e-4,30.703,858.8
276.897,400.552,-424.528,0.038,0.348,74.828,1.111e-7,0.039,1.592e-4,30.835,860.3
277.397,398.714,-422.684,0.031,0.08,73.224,1.111e-7,0.039,3.183e-4,30.967,861.7
277.897,396.913,-420.878,0.033,0.121,73.51,1.111e-7,0.039,3.183e-4,31.099,863.1
278.397,395.13,-419.09,0.033,0.009,72.708,1.111e-7,0.039,3.183e-4,31.231,864.5
278.897,393.357,-417.311,0.034,0.084,73.281,1.111e-7,0.039,3.183e-4,31.363,865.9
279.397,391.591,-415.54,0.034,0.07,73.167,1.111e-7,0.039,3.183e-4,31.495,867.4
279.897,389.838,-413.781,0.034,0.032,72.594,1.111e-7,0.039,3.183e-4,31.626,868.8
280.397,388.088,-412.027,0.037,0.253,74.255,1.111e-7,0.039,1.592e-4,31.758,870.2
280.897,386.358,-410.291,0.033,0.087,72.307,1.111e-7,0.039,3.183e-4,31.889,871.6
281.397,384.643,-408.571,0.034,0.103,72.193,1.111e-7,0.039,3.183e-4,32.021,873
281.897,382.911,-406.833,0.034,0.098,72.193,1.111e-7,0.039,3.183e-4,32.152,874.4
282.397,381.161,-405.078,0.034,0.098,73.339,1.111e-7,0.039,3.183e-4,32.284,875.8
282.897,379.411,-403.323,0.033,0.061,72.422,1.111e-7,0.039,3.183e-4,32.415,877.2
283.397,377.665,-401.572,0.038,0.324,74.656,1.111e-7,0.039,1.592e-4,32.546,878.6
283.897,375.942,-399.843,0.032,0.075,72.365,1.111e-7,0.039,3.183e-4,32.677,880.1
284.397,374.241,-398.137,0.036,0.273,71.219,1.111e-7,0.039,3.183e-4,32.808,881.5
284.398,374.237,-398.134,118.014,3.59,71.219,1.111e-7,0.039,3.183e-4,32.809,881.5
284.407,374.208,-398.104,109.232,3.318,71.219,1.111e-7,0.039,3.183e-4,32.811,881.5
284.416,374.177,-398.073,100.762,3.047,71.219,1.111e-7,0.039,3.183e-4,32.813,881.5
284.426,374.142,-398.038,92.605,2.786,71.219,1.111e-7,0.039,3.183e-4,32.815,881.5
284.437,374.105,-398.001,84.76,2.535,71.276,1.111e-7,0.039,3.183e-4,32.818,881.6
284.448,374.063,-397.959,77.227,2.294,71.276,1.111e-7,0.039,3.183e-4,32.82,881.6
284.461,374.017,-397.913,70.01,2.146,71.276,1.111e-7,0.039,3.183e-4,32.823,881.6
284.476,373.967,-397.862,63.105,2.018,71.219,1.111e-7,0.039,3.183e-4,32.826,881.7
284.491,373.91,-397.805,56.513,1.896,71.161,1.111e-7,0.039,3.183e-4,32.829,881.7
284.509,373.846,-397.742,50.236,1.856,71.047,1.111e-7,0.039,3.183e-4,32.832,881.7
284.529,373.774,-397.669,44.275,1.895,70.818,1.111e-7,0.039,3.183e-4,32.836,881.8
284.552,373.692,-397.587,38.628,1.904,70.531,1.111e-7,0.039,3.183e-4,32.84,881.8
284.577,373.596,-397.491,33.277,1.477,70.818,1.111e-7,0.039,3.183e-4,32.844,881.8
284.607,373.485,-397.379,28.24,1.08,71.161,1.111e-7,0.039,3.183e-4,32.848,881.9
284.643,373.352,-397.247,23.516,0.731,71.562,1.111e-7,0.039,3.183e-4,32.853,881.9
284.685,373.191,-397.086,19.105,0.357,72.078,1.111e-7,0.039,3.183e-4,32.858,882
284.738,372.993,-396.887,15.009,0.121,72.536,1.111e-7,0.039,3.183e-4,32.865,882.1
284.804,372.74,-396.634,11.228,0.241,72.135,1.111e-7,0.039,3.183e-4,32.872,882.1
284.893,372.4,-396.294,7.758,0.011,72.823,1.111e-7,0.039,3.183e-4,32.881,882.2
285.022,371.908,-395.801,4.601,0.051,72.995,1.111e-7,0.039,3.183e-4,32.893,882.4
285.24,371.078,-394.971,1.776,0.652,76.031,1.111e-7,0.039,1.592e-4,32.911,882.6
285.611,369.693,-393.585,0.089,0.852,77.75,1.111e-7,0.039,1.592e-4,32.939,882.9
286.014,368.275,-392.166,-0.026,0.382,70.531,1.111e-7,0.039,3.183e-4,32.969,883.2
286.419,366.878,-390.769,-0.004,0.139,73.625,1.111e-7,0.039,1.592e-4,32.998,883.5
286.822,365.47,-389.36,0.076,1.216,79.813,1.111e-7,0.039,1.592e-4,33.027,883.8
287.226,364.14,-388.03,-0.071,0.025,72.938,1.111e-7,0.039,3.183e-4,33.056,884.1
287.631,362.876,-386.766,0.009,0.341,70.818,1.111e-7,0.039,3.183e-4,33.086,884.4
288.035,361.6,-385.49,0.046,0.986,67.093,1.111e-7,0.039,3.183e-4,33.115,884.8
288.438,360.247,-384.136,-0.04,0.358,70.703,1.111e-7,0.039,3.183e-4,33.144,885.1
288.843,358.814,-382.703,-0.003,0.158,73.74,1.111e-7,0.039,1.592e-4,33.173,885.4
289.246,357.372,-381.261,0.023,0.656,68.984,1.111e-7,0.039,3.183e-4,33.202,885.7
289.649,355.902,-379.791,-0.013,0.349,70.76,1.111e-7,0.039,3.183e-4,33.232,886
290.053,354.374,-378.262,0.024,0.736,68.526,1.111e-7,0.039,3.183e-4,33.261,886.3
290.456,352.784,-376.671,-0.016,0.412,70.359,1.111e-7,0.039,3.183e-4,33.29,886.6
290.86,351.126,-375.014,-3.482e-4,0.339,74.771,1.111e-7,0.039,1.592e-4,33.319,886.9
291.263,349.466,-373.353,-0.003,0.049,73.109,1.111e-7,0.039,3.183e-4,33.348,887.3
291.667,347.829,-371.716,0.041,0.879,77.922,1.111e-7,0.039,1.592e-4,33.378,887.6
292.07,346.246,-370.132,-0.013,0.674,76.719,1.111e-7,0.039,1.592e-4,33.407,887.9
292.473,344.749,-368.636,-0.012,0.412,70.359,1.111e-7,0.039,3.183e-4,33.436,888.2
292.877,343.269,-367.155,-0.006,0.042,72.536,1.111e-7,0.039,3.183e-4,33.465,888.5
293.28,341.765,-365.65,0.007,0.293,74.485,1.111e-7,0.039,1.592e-4,33.494,888.8
293.682,340.275,-364.16,-0.001,0.116,72.135,1.111e-7,0.039,3.183e-4,33.523,889.1
294.085,338.795,-362.68,0.037,0.838,67.953,1.111e-7,0.039,3.183e-4,33.552,889.5
294.488,337.261,-361.146,-0.032,0.107,72.193,1.111e-7,0.039,3.183e-4,33.581,889.8
294.891,335.671,-359.555,0.003,0.163,73.74,1.111e-7,0.039,1.592e-4,33.611,890.1
295.294,334.086,-357.97,0.002,0.089,72.25,1.111e-7,0.039,3.183e-4,33.64,890.4
295.696,332.506,-356.39,0.004,0.213,71.562,1.111e-7,0.039,3.183e-4,33.669,890.7
296.099,330.909,-354.793,3.888e-4,0.069,73.224,1.111e-7,0.039,1.592e-4,33.698,891
296.501,329.304,-353.187,0.007,0.32,74.656,1.111e-7,0.039,1.592e-4,33.727,891.3
296.904,327.722,-351.604,0.096,1.412,80.902,1.111e-7,0.039,1.583e-4,33.756,891.6
297.306,326.238,-350.12,-0.096,0.122,72.078,1.111e-7,0.039,3.183e-4,33.785,892
297.71,324.821,-348.703,0.023,0.639,69.041,1.111e-7,0.039,3.183e-4,33.814,892.3
298.113,323.369,-347.25,-0.017,0.135,73.568,1.111e-7,0.039,1.592e-4,33.843,892.6
298.515,321.886,-345.767,0.013,0.479,70.015,1.111e-7,0.039,3.183e-4,33.872,892.9
298.917,320.385,-344.266,0.008,0.581,69.385,1.111e-7,0.039,3.183e-4,33.901,893.2
299.32,318.823,-342.704,0.025,0.883,77.922,1.111e-7,0.039,1.592e-4,33.93,893.5
299.722,317.278,-341.158,-0.017,0.62,76.433,1.111e-7,0.039,1.592e-4,33.959,893.8
300.125,315.817,-339.697,-0.001,0.562,76.089,1.111e-7,0.039,1.592e-4,33.988,894.1
300.527,314.426,-338.306,-0.002,0.472,70.015,1.111e-7,0.039,3.183e-4,34.017,894.4
300.929,313.041,-336.92,0.006,0.551,76.031,1.111e-7,0.039,1.592e-4,34.046,894.8
301.331,311.66,-335.54,-0.011,0.216,71.505,1.111e-7,0.039,3.183e-4,34.075,895.1
301.733,310.299,-334.178,0.132,1.633,63.426,1.111e-7,0.039,3.183e-4,34.104,895.4
302.135,308.833,-332.712,-0.129,0.016,72.88,1.111e-7,0.039,3.183e-4,34.133,895.7
302.539,307.265,-331.143,0.006,0.241,74.198,1.111e-7,0.039,1.592e-4,34.162,896
302.941,305.722,-329.6,0.002,0.208,74.026,1.111e-7,0.039,1.592e-4,34.191,896.3
303.342,304.205,-328.082,0.028,0.738,68.526,1.111e-7,0.039,3.183e-4,34.22,896.6
303.744,302.657,-326.535,-0.024,0.14,73.625,1.111e-7,0.039,1.592e-4,34.249,896.9
304.146,301.074,-324.951,0.066,1.137,79.355,1.111e-7,0.039,1.592e-4,34.278,897.2
304.547,299.566,-323.443,-0.06,0.189,73.912,1.111e-7,0.039,1.592e-4,34.307,897.6
304.95,298.129,-322.005,0.005,0.277,74.427,1.111e-7,0.039,1.592e-4,34.336,897.9
